Price,Seller,Postcode,LandSize,YearBuilt
660000,hockingstua,3003,0,1998
460000,Nelson,3003,0,2000
1260000,Alexkarbon,3003,506,2000
620000,Jellis,3003,0,2002
1130000,Caine,3003,116,2002
800000,Nelson,3003,54,2006
1120000,Jellis,3003,801,2008
1055000,Jellis,3003,0,2009
1013000,Alexkarbon,3003,0,2010
295000,Alexkarbon,3003,0,2013
505000,Dixon,3006,0,0
720000,VICPROP,3006,0,0
815000,Cayzer,3006,0,0
1220000,Greg,3006,0,0
590000,Marshall,3006,0,0
700000,Cayzer,3006,199,1947
720000,VICPROP,3006,0,1993
642500,Greg,3006,8888,1994
580000,William,3006,0,1994
540000,Dingle,3006,0,1994
740000,Greg,3006,0,1994
580000,MICM,3006,0,1995
600000,Greg,3006,0,1995
623000,Cayzer,3006,0,1995
990000,Ray,3006,0,1995
868000,Greg,3006,0,1995
595000,RT,3006,0,1998
370000,Dingle,3006,546,2000
660000,RT,3006,0,2000
1250000,Kay,3006,0,2000
592500,Ray,3006,0,2000
650000,Marshall,3006,0,2000
530000,Greg,3006,0,2003
425000,Greg,3006,0,2004
455000,Greg,3006,760,2007
590000,MICM,3006,0,2009
422000,MICM,3006,63,2010
580000,Whiting,3006,0,2010
385500,LITTLE,3006,1826,2010
422500,Dingle,3006,3878,2012
480000,Greg,3006,3878,2012
569000,MICM,3006,3878,2012
690000,Greg,3006,0,2013
622500,hockingstua,3006,2955,2013
485000,Dingle,3006,2121,2013
800000,Marshall,3006,0,2014
430000,Dingle,3006,2295,2014
800000,RT,3008,0,0
1370000,Raine,3008,0,0
360000,RT,3008,0,0
900000,Sweeney,3011,252,0
322500,Village,3011,0,0
900000,Village,3011,194,0
910000,Sweeney,3011,312,0
855000,Jas,3011,0,0
605000,Rendina,3011,4096,0
270000,Burnham,3011,0,0
750000,Jas,3011,104,0
785000,hockingstua,3011,116,0
847000,Jas,3011,205,0
1085000,Village,3011,249,0
831000,Jas,3011,210,0
315000,Biggin,3011,0,0
360000,McGrath,3011,761,0
1375000,Greg,3011,487,0
1320000,Sweeney,3011,482,0
1310000,Nelson,3011,229,0
920000,Biggin,3011,274,0
887000,Jas,3011,170,0
1200000,Burnham,3011,374,0
215000,Greg,3011,0,0
881000,Jas,3011,217,0
1025000,Sweeney,3011,248,0
1126000,Jas,3011,357,0
990000,Burnham,3011,306,0
755000,Village,3011,97,0
1001000,Jas,3011,256,0
780000,Jas,3011,176,0
937500,Village,3011,409,0
886500,Greg,3011,268,0
296000,Sweeney,3011,0,0
823000,Jas,3011,238,0
561000,Nelson,3011,0,0
360000,Trimson,3011,0,0
665000,Greg,3011,0,0
875000,Village,3011,262,0
210000,Trimson,3011,0,0
820000,Sweeney,3011,122,0
310000,Sweeney,3011,0,0
1045000,Sweeney,3011,384,0
1100000,Biggin,3011,633,0
560000,Sweeney,3011,111,0
674000,Jellis,3011,8680,0
775000,Jas,3011,197,0
1290000,Sweeney/Advr,3011,411,0
490000,Sweeney,3011,0,0
930000,Sweeney,3011,413,0
431000,Jas,3011,0,0
585000,Nelson,3011,259,0
310000,Burnham,3011,0,1888
885000,Jas,3011,267,1890
1270000,Jas,3011,352,1890
1275000,Jas,3011,386,1890
880000,Jas,3011,216,1890
970000,Jas,3011,137,1890
1145000,Burnham,3011,350,1890
745000,Village,3011,355,1890
775000,Sweeney,3011,277,1890
1362000,Village,3011,497,1890
665000,Village,3011,269,1900
882000,Village,3011,172,1900
871000,Greg,3011,267,1900
815000,Chisholm,3011,172,1900
1032000,Village,3011,224,1900
1080000,Village,3011,234,1900
1075000,Jas,3011,306,1900
757500,Sweeney,3011,258,1900
747000,Sweeney,3011,320,1900
690500,Rendina,3011,212,1900
1170000,Sweeney,3011,184,1900
780000,Jas,3011,323,1900
900000,Village,3011,210,1900
840000,Sweeney,3011,164,1900
1003000,Naison,3011,292,1900
1180000,Biggin,3011,198,1910
850000,Village,3011,152,1910
701000,Village,3011,164,1910
920000,Jas,3011,309,1910
965000,Jas,3011,217,1910
990000,Jas,3011,371,1910
1201000,Village,3011,299,1910
1450000,Village,3011,799,1910
815000,Biggin,3011,369,1910
740000,Jas,3011,211,1910
711000,Jas,3011,253,1910
932000,Jas,3011,451,1910
760000,Biggin,3011,265,1910
752000,Jas,3011,215,1910
955000,Jas,3011,148,1912
1270000,Jas,3011,452,1913
1225000,Nelson,3011,319,1915
858000,Jas,3011,313,1915
1225000,Nelson,3011,319,1915
950000,Village,3011,220,1920
895000,Burnham,3011,272,1920
970000,Jas,3011,149,1920
1455000,Jas,3011,571,1920
760000,Burnham,3011,130,1920
835000,Jas,3011,222,1920
775000,Sweeney,3011,242,1920
375000,Biggin,3011,0,1920
822500,Biggin,3011,228,1930
767500,Sweeney,3011,458,1930
850000,Village,3011,190,1930
965000,Williams,3011,283,1940
800000,Village,3011,260,1940
747000,Jas,3011,246,1940
950000,Burnham,3011,657,1940
910000,Village,3011,361,1940
1395000,Jas,3011,467,1946
1300000,hockingstua,3011,0,1950
1155000,Burnham,3011,585,1950
392500,Sweeney,3011,1783,1960
316000,Burnham,3011,0,1960
615000,Sweeney,3011,207,1960
295000,Gunn&Co,3011,0,1960
305000,Burnham,3011,59,1965
375000,Sweeney,3011,0,1968
240000,Trimson,3011,1015,1970
450000,Village,3011,0,1970
315000,C21,3011,882,1970
661000,Sweeney,3011,132,1970
275000,Sweeney,3011,0,1970
291000,Sweeney,3011,665,1970
227000,Sweeney,3011,0,1970
216000,Sweeney,3011,0,1970
355000,Sweeney,3011,0,1975
282000,Sweeney,3011,1783,1975
860500,Burnham,3011,322,1980
281000,Sweeney,3011,0,1980
357000,Village,3011,0,1980
480000,Nelson,3011,0,1985
876000,Jas,3011,204,1990
875000,Jas,3011,193,2000
920000,Jas,3011,0,2000
716000,Ray,3011,274,2000
699000,Jas,3011,125,2000
575000,Burnham,3011,162,2000
605000,Jas,3011,2794,2000
841000,Jellis,3011,250,2000
980000,GL,3011,196,2006
370000,Sweeney,3011,0,2007
977000,Village,3011,154,2007
85000,Burnham,3011,0,2007
714000,Jas,3011,164,2008
395000,Greg,3011,0,2009
735000,Jas,3011,112,2010
420000,Village,3011,0,2010
853000,Village,3011,0,2010
480000,Jas,3011,556,2010
760000,Jas,3011,219,2011
485000,Biggin,3011,0,2011
720000,Greg,3011,126,2011
757000,Jas,3011,102,2011
533000,Jas,3011,0,2012
1330000,Sweeney,3011,168,2012
433000,Jas,3011,0,2012
170000,Burnham,3011,30,2013
571000,hockingstua,3011,0,2013
305000,Burnham,3011,47,2013
410000,Rendina,3011,65,2014
1350000,Village,3011,227,2015
1325000,Jas,3011,227,2015
699000,Raine,3011,0,2015
810000,Biggin,3012,209,0
735000,McGrath,3012,170,0
480000,Jas,3012,1157,0
1180000,Jas,3012,335,0
876000,Biggin,3012,369,0
520000,Jas,3012,126,0
210000,Jas,3012,0,0
1020000,Village,3012,281,0
185000,Jas,3012,0,0
975000,Jas,3012,318,0
490000,Village,3012,117,0
1040000,Jas,3012,330,0
830000,Burnham,3012,370,0
900000,hockingstua,3012,218,0
890000,Biggin,3012,334,0
815000,McGrath,3012,203,0
838000,Sweeney,3012,294,0
725000,Biggin,3012,260,0
640000,Sweeney,3012,206,0
873000,Biggin,3012,625,0
760000,Biggin,3012,584,0
892000,hockingstua,3012,715,0
430000,Jas,3012,131,0
1030000,Village,3012,352,0
820000,Sweeney,3012,335,0
660000,Sweeney,3012,321,0
262500,Sweeney,3012,0,0
1028000,Biggin,3012,520,0
326500,Sweeney,3012,626,0
790000,Village,3012,259,0
709000,Jas,3012,405,0
705000,Jas,3012,308,0
991000,Sweeney,3012,495,0
691000,Biggin,3012,466,0
510000,Biggin,3012,0,0
915000,Sweeney,3012,434,0
520000,Sweeney,3012,148,0
1001000,Burnham,3012,596,0
850000,Ray,3012,511,0
845000,Jas,3012,596,0
470000,hockingstua,3012,0,0
241000,Sweeney,3012,0,0
620000,Village,3012,144,0
1225000,Jas,3012,0,0
850000,Sweeney,3012,361,0
1021000,Jas,3012,601,0
1061000,Burnham,3012,533,0
270000,Jas,3012,0,0
967500,Jas,3012,325,0
750000,Village,3012,272,0
630000,Burnham,3012,370,0
905000,Sweeney,3012,686,0
830000,Rendina,3012,318,0
657000,Nguyen,3012,159,0
1060000,Biggin,3012,660,0
360000,Pagan,3012,0,0
750000,C21,3012,782,0
725500,Biggin,3012,214,0
930000,Jas,3012,492,0
690000,Sweeney,3012,270,0
600000,hockingstua,3012,194,0
915000,hockingstua,3012,667,0
815000,hockingstua,3012,0,0
935000,Nelson,3012,485,0
600000,hockingstua,3012,127,0
728000,Sweeney,3012,218,0
893000,Sweeney,3012,528,0
580000,LJ,3012,278,0
1000000,Prof,3012,700,0
520000,Burnham,3012,184,0
676500,Biggin,3012,250,0
725000,Biggin,3012,305,0
485000,Jas,3012,152,0
880000,Biggin,3012,586,0
927000,Purplebrick,3012,524,0
1200000,Biggin,3012,589,0
640000,Biggin,3012,214,0
670000,Sweeney,3012,564,0
685000,Village,3012,220,1890
730000,Village,3012,84,1900
646000,Jas,3012,270,1900
840000,Nelson,3012,584,1900
875000,Sweeney,3012,336,1910
1275000,Jas,3012,274,1910
673000,Biggin,3012,285,1910
1435000,Village,3012,523,1915
1340000,Jas,3012,272,1915
677500,Jas,3012,224,1915
1155000,Jas,3012,269,1915
1155000,Village,3012,342,1920
805000,Jas,3012,372,1920
710000,Sweeney,3012,255,1920
1336000,Jas,3012,343,1920
925000,Village,3012,275,1920
1035000,Village,3012,275,1920
1048000,Burnham,3012,647,1920
711000,Jas,3012,163,1920
935000,Jas,3012,325,1925
1190000,Village,3012,276,1925
1151500,Sweeney,3012,536,1925
913000,hockingstua,3012,448,1925
756000,Brad,3012,353,1925
967000,Jas,3012,347,1925
1325000,hockingstuarä,3012,525,1930
580000,Jas,3012,183,1930
1575000,Sweeney,3012,1000,1930
830000,Sweeney,3012,426,1930
723000,Village,3012,302,1938
970000,Biggin,3012,528,1940
860000,Village,3012,555,1940
935000,Sweeney,3012,466,1940
770000,Village,3012,267,1940
912500,Village,3012,444,1940
1020000,Alexkarbon,3012,554,1940
817000,Village,3012,259,1940
865000,Jas,3012,381,1940
1100000,Biggin,3012,380,1945
888000,Sweeney,3012,401,1945
925000,Sweeney,3012,276,1948
845000,Jas,3012,422,1950
1005000,hockingstua,3012,780,1950
650000,Sweeney,3012,452,1950
820000,Sweeney,3012,440,1950
840000,Brad,3012,442,1950
837000,Sweeney,3012,390,1950
1074000,Village,3012,355,1950
760000,Chambers,3012,350,1950
675000,Sweeney,3012,595,1950
740000,Sweeney,3012,333,1950
746000,Village,3012,314,1950
832000,Sweeney,3012,300,1950
930000,Biggin,3012,660,1955
1415000,Biggin,3012,970,1955
770000,Sweeney,3012,329,1955
765000,Biggin,3012,672,1955
721000,Sweeney/Adv,3012,239,1955
1205000,hockingstua,3012,318,1960
878000,Village,3012,397,1960
830000,Purplebrick,3012,665,1960
860000,Biggin,3012,501,1960
850000,Sweeney,3012,462,1960
200000,Greg,3012,0,1960
490000,Biggin,3012,269,1960
490000,Jas,3012,306,1960
275000,Burnham,3012,1972,1960
347000,Jas,3012,0,1965
266000,Sweeney,3012,1059,1970
288000,Sweeney,3012,628,1970
530000,Sweeney,3012,0,1970
360000,Sweeney,3012,92,1970
438000,hockingstua,3012,0,1970
520000,Sweeney,3012,0,1970
210000,Jas,3012,0,1970
773000,Biggin,3012,333,1970
715000,Burnham,3012,576,1970
470000,Greg,3012,0,1975
456000,Sweeney,3012,0,1975
495000,Burnham,3012,161,1977
450000,hockingstua,3012,0,1980
910000,Biggin,3012,412,1980
415000,Sweeney,3012,80,1980
850000,Sweeney,3012,497,1980
375000,Burnham,3012,60,1982
472500,Burnham,3012,315,1990
620000,Nelson,3012,255,2001
895000,Rendina,3012,262,2004
545000,Biggin,3012,154,2005
502000,Sweeney,3012,144,2005
900000,Jas,3012,446,2006
695000,Burnham,3012,214,2007
615000,Jas,3012,165,2007
440000,hockingstua,3012,117,2008
280000,McGrath,3012,3826,2009
1350000,Biggin,3012,527,2009
335000,Biggin,3012,0,2009
502000,Sweeney,3012,2701,2011
677200,Sweeney,3012,180,2011
349000,hockingstua,3012,0,2011
680000,Biggin,3012,2787,2012
600000,Jas,3012,145,2012
352500,hockingstua,3012,15100,2012
555000,Biggin,3012,210,2012
695000,Sweeney,3012,156,2012
826000,Rendina,3012,308,2012
405000,Pagan,3012,2787,2013
420000,Greg,3012,781,2013
505500,hockingstua,3012,59,2014
507000,hockingstua,3012,191,2014
510000,Sweeney,3012,118,2014
675000,Biggin,3012,159,2016
1035000,Jas,3013,463,0
1225000,RT,3013,230,0
1115000,Village,3013,446,0
1000000,Village,3013,438,0
497600,Jas,3013,0,0
820000,Village,3013,211,0
1370000,Greg,3013,389,0
1035000,Sweeney,3013,469,0
1131500,Jas,3013,248,0
1196000,Greg,3013,451,0
950000,Village,3013,94,0
935000,Jas,3013,212,0
850000,Chisholm,3013,201,0
980000,Jas,3013,463,0
845000,Jas,3013,494,0
740000,Village,3013,261,0
1028000,Village,3013,431,0
951000,Sweeney,3013,486,0
867000,RT,3013,195,0
745000,hockingstua,3013,325,0
925000,hockingstua,3013,288,0
1250000,Village,3013,249,0
1020000,Jas,3013,248,0
1150000,hockingstua,3013,482,0
381000,Sweeney,3013,0,0
600000,hockingstua,3013,0,0
760000,Jas,3013,472,0
822000,Sweeney,3013,539,0
955000,Jellis,3013,202,0
681000,Sweeney,3013,446,0
610000,Jas,3013,94,0
850000,Jas,3013,444,0
1035000,Jas,3013,289,0
1785000,Village,3013,640,0
410000,hockingstua,3013,0,0
796000,Jas,3013,188,0
931000,Douglas,3013,442,0
710000,Chisholm,3013,164,0
960000,Village,3013,159,0
670000,Jas,3013,152,0
960000,Sweeney,3013,503,0
760000,Jas,3013,134,0
950000,Village,3013,240,1880
856000,Greg,3013,261,1880
2035000,Jas,3013,607,1890
1606000,Jas,3013,455,1890
1815000,Village,3013,644,1890
770000,Jas,3013,138,1890
950000,Jas,3013,150,1900
1460000,Village,3013,463,1900
908000,hockingstua,3013,105,1900
1340000,Village,3013,297,1900
1200000,Village,3013,417,1900
1414000,Jas,3013,230,1900
706000,Jas,3013,165,1900
1520000,Jas,3013,261,1910
1380000,Village,3013,235,1910
1275000,Village,3013,229,1910
1158000,Jas,3013,411,1910
1401000,Village,3013,306,1910
660000,Sweeney,3013,360,1910
1100000,Village,3013,214,1910
1000000,Village,3013,220,1910
1165000,Village,3013,191,1910
1320000,Village,3013,319,1915
1455000,Village,3013,328,1920
872500,Jas,3013,189,1920
767000,Jas,3013,128,1920
1419000,Jas,3013,270,1920
1930000,Jas,3013,902,1920
1320000,Jas,3013,473,1920
890000,hockingstua,3013,166,1920
970000,Raine,3013,354,1930
1287000,hockingstua,3013,488,1930
865000,Jas,3013,189,1930
1256000,hockingstua,3013,531,1940
892000,Village,3013,449,1940
990000,Jas,3013,340,1940
1430000,Village,3013,386,1940
725000,Sweeney,3013,558,1940
1081000,Village,3013,448,1940
1055000,hockingstua,3013,670,1940
1050000,Village,3013,442,1940
1000000,Jas,3013,448,1940
670000,Biggin,3013,463,1950
780000,Hunter,3013,435,1950
1137500,hockingstua,3013,446,1950
781500,Jas,3013,341,1950
501344,Sweeney,3013,0,1950
890000,Village,3013,471,1950
650000,Village,3013,304,1960
970000,Village,3013,664,1960
1005000,Sweeney,3013,438,1960
796000,Greg,3013,464,1960
381000,Jas,3013,0,1960
1050000,hockingstua,3013,462,1960
670000,Village,3013,477,1960
770000,Jas,3013,323,1960
470000,Sweeney,3013,79,1965
871000,Jas,3013,428,1965
1870000,Sweeney,3013,766,1968
331000,Jas,3013,0,1970
935000,Jas,3013,198,1970
900500,Village,3013,208,1970
840000,Village,3013,470,1970
480500,Jas,3013,0,1970
966000,JMRE,3013,456,1970
345000,hockingstuar≤,3013,0,1970
330000,Jas,3013,0,1970
397000,Village,3013,0,1975
985500,Jas,3013,445,1977
750000,McGrath,3013,390,1980
650000,Jas,3013,0,1980
650000,Jas,3013,0,1985
1240000,Jas,3013,668,1990
630000,Jas,3013,168,2000
950000,Sweeney,3013,287,2002
630000,Jas,3013,148,2003
470000,Jas,3013,0,2004
510000,hockingstua,3013,0,2004
780000,Village,3013,213,2004
955000,Village,3013,206,2006
1425000,Jas,3013,305,2007
940000,Village,3013,171,2007
800000,Jas,3013,169,2007
1550000,Village,3013,427,2010
1235000,Jas,3013,244,2011
1120000,hockingstua,3013,152,2012
1070000,Jas,3013,257,2012
910000,Village,3013,197,2013
782000,hockingstuarﬁ,3013,1555,2013
620000,iOne,3013,0,2014
1450000,Village,3013,542,2016
1217500,Greg,3013,217,2016
1040000,Sweeney,3013,352,2016
1250000,Greg,3015,343,0
1005000,Sweeney,3015,390,0
1330000,RT,3015,758,0
1320000,Jas,3015,738,0
1290000,Jas,3015,715,0
995000,Burnham,3015,669,0
815000,Williams,3015,148,0
1100000,Sweeney,3015,761,0
1070000,Jas,3015,480,0
1370000,Jas,3015,752,0
828000,Jas,3015,459,0
1215000,Jas,3015,482,0
1700000,Jas,3015,622,0
1410000,Williams,3015,315,0
890000,Sweeney,3015,165,0
1325500,hockingstua,3015,367,0
1200000,Williams,3015,484,0
1400000,Raine,3015,644,0
1530000,Greg,3015,588,0
820000,RT,3015,342,0
2000000,Sweeney,3015,1070,0
855000,Greg,3015,337,0
1030000,Barlow,3015,224,0
941000,Jas,3015,669,0
845000,hockingstua,3015,738,0
775000,McGrath,3015,435,0
1035000,Jas,3015,675,0
835000,Williams,3015,459,0
1170000,Jas,3015,489,0
1040000,hockingstua,3015,595,0
670000,Purplebrick,3015,190,0
2015000,Williams,3015,1017,0
1100000,Williams,3015,293,0
1199000,Raine,3015,506,0
910000,Greg,3015,531,0
988000,Jas,3015,450,0
827500,Greg,3015,221,0
901000,Trimson,3015,557,0
1200000,Raine,3015,288,0
1185000,RT,3015,771,0
1675000,Williams,3015,575,0
2415000,Williams,3015,803,0
922000,Williams,3015,301,0
762000,Williams,3015,451,0
716000,Williams,3015,268,0
1120000,RT,3015,574,0
807500,Sweeney,3015,647,0
1002500,Jas,3015,501,0
776000,RT,3015,363,0
910000,Greg,3015,264,0
950000,RT,3015,224,0
1060000,Sweeney,3015,600,0
930000,Greg,3015,343,0
930000,Williams,3015,307,0
1220000,Williams,3015,681,0
860000,Sweeney,3015,217,0
785000,RT,3015,185,0
1380000,Williams,3015,766,0
1025000,Sweeney,3015,301,0
1115000,Greg,3015,0,1880
3420000,RT,3015,757,1886
2337000,Williams,3015,580,1890
831000,Biggin,3015,353,1890
650000,Raine&Horne,3015,149,1890
1046000,Sweeney,3015,284,1890
1230000,Williams,3015,396,1900
1100000,Greg,3015,305,1900
643700,Greg,3015,129,1900
890000,Williams,3015,168,1900
896000,RT,3015,297,1900
993000,Williams,3015,348,1900
923000,Village,3015,221,1900
1305000,Greg,3015,357,1900
927000,Williams,3015,274,1910
920000,Williams,3015,296,1910
970000,Greg,3015,619,1915
1315000,hockingstua,3015,830,1920
881000,Jas,3015,663,1920
1151000,Williams,3015,571,1920
891500,Sweeney,3015,344,1920
801000,Williams,3015,343,1920
962000,Village,3015,402,1920
1220000,Williams,3015,311,1920
1210000,Williams,3015,546,1920
1230000,Gunn&Co,3015,402,1925
1650000,Greg,3015,837,1930
760000,Williams,3015,255,1930
816000,RT,3015,315,1930
805000,RT,3015,322,1930
1280000,Raine,3015,458,1930
1030000,Village,3015,470,1930
940000,Williams,3015,379,1930
1820000,Sweeney,3015,760,1935
1220000,Hunter,3015,492,1940
1560000,Village,3015,480,1940
1016000,Jas,3015,320,1940
800000,Williams,3015,244,1940
1075000,Raine,3015,452,1950
985000,Williams,3015,669,1950
930000,Sweeney,3015,669,1950
1070000,Village,3015,526,1950
1080000,Jas,3015,472,1950
850000,Jas,3015,502,1950
832500,Jas,3015,562,1950
1040000,hockingstua,3015,690,1950
1265000,RT,3015,774,1950
950000,Jas,3015,453,1950
950000,Greg,3015,281,1950
880000,Sweeney,3015,557,1950
710000,Greg,3015,329,1955
826000,Village,3015,281,1957
380000,Oak,3015,78,1960
1176000,hockingstua,3015,767,1960
995000,Greg,3015,316,1960
1260000,Village,3015,757,1960
690000,Biggin,3015,532,1965
300000,Jas,3015,0,1970
321000,Jas,3015,0,1970
956000,Sweeney,3015,540,1970
392250,Gunn&Co,3015,462,1970
810000,Williams,3015,390,1970
800000,Jas,3015,0,1970
506000,Sweeney,3015,126,1975
380000,Jas,3015,89,1980
420000,Jas,3015,78,1980
508000,Sweeney,3015,144,1980
871500,Jas,3015,389,1990
850000,RT,3015,389,1990
855000,RT,3015,326,1991
793000,Gunn&Co,3015,144,1995
611000,Williams,3015,228,2000
1161000,Williams,3015,742,2000
1316000,Williams,3015,539,2000
680000,RT,3015,229,2000
790000,McGrath,3015,334,2003
660000,RT,3015,221,2003
1040000,Greg,3015,299,2004
747000,Jas,3015,753,2005
335000,Williams,3015,0,2005
820000,Sweeney,3015,753,2006
485000,Williams,3015,0,2006
740000,RT,3015,213,2006
1400000,Greg,3015,2522,2006
735000,Williams,3015,0,2007
930000,Greg,3015,278,2009
655800,Greg,3015,178,2009
975000,RT,3015,333,2010
900000,Raine,3015,194,2010
710000,Williams,3015,120,2011
650000,Greg,3015,151,2011
485000,Williams,3015,0,2011
1082000,Village,3015,233,2011
962000,Village,3015,283,2011
900000,Greg,3015,360,2013
785000,Raine,3015,0,2013
840000,Jas,3015,278,2015
770000,Greg,3015,224,2015
1620000,Williams,3015,425,2015
915000,Sweeney,3015,662,2016
900000,Greg,3015,575,2017
945000,Jas,3015,487,2017
950000,Williams,3016,169,0
1285000,Sweeney,3016,448,0
2760000,Sweeney,3016,646,0
1494000,RT,3016,333,0
1520000,Williams,3016,560,0
1630000,Sweeney,3016,260,0
1500000,Greg,3016,450,0
1330000,Greg,3016,184,0
490000,Village,3016,0,0
855000,Williams,3016,160,0
1412000,Williams,3016,551,0
1000000,Raine,3016,447,0
1290000,RT,3016,273,0
1440000,Williams,3016,672,0
881000,Sweeney,3016,468,0
285000,Williams,3016,0,0
1410000,Sweeney,3016,680,0
500000,Village,3016,53,0
331000,Williams,3016,0,0
1860000,Sweeney,3016,199,0
920000,Jas,3016,307,0
811000,RT,3016,183,0
1337500,Raine,3016,297,0
1262000,Williams,3016,204,0
965000,Sweeney,3016,151,0
830000,Gunn&Co,3016,0,0
975000,Sweeney,3016,289,0
1172000,Village,3016,344,0
1270000,Williams,3016,470,0
769000,RT,3016,265,0
1000000,Greg,3016,189,0
895000,Hunter,3016,193,0
906000,Compton,3016,270,0
415000,Greg,3016,0,0
1000000,Jas,3016,240,0
450000,Williams,3016,0,0
1010000,Sweeney,3016,250,0
1900000,Village,3016,321,0
1410000,Sweeney,3016,195,0
1815000,Sweeney,3016,321,0
1085000,Greg,3016,458,0
830000,Greg,3016,56,0
2640000,Williams,3016,650,0
850000,Greg,3016,278,0
1050000,Sweeney,3016,445,0
1400000,hockingstua,3016,457,0
1325000,hockingstua,3016,452,0
2255000,Raine,3016,765,1880
2910000,Greg,3016,338,1890
1150000,Jas,3016,308,1900
1310000,Sweeney,3016,185,1900
1126000,Raine&Horne,3016,307,1900
2230000,Greg,3016,782,1900
2165000,Greg,3016,450,1910
1482500,Sweeney,3016,506,1910
1210000,Williams,3016,249,1910
1535000,Greg,3016,507,1910
1225000,Raine,3016,311,1920
3130000,RT,3016,897,1920
1360000,Sweeney,3016,477,1930
1805000,Greg,3016,466,1930
1575000,Sweeney,3016,860,1950
1400000,Gunn&Co,3016,320,1950
380000,Greg,3016,0,1960
310000,Sweeney,3016,0,1968
465000,Raine,3016,0,1970
367500,Sweeney,3016,0,1970
400000,Compton,3016,0,1970
491500,RT,3016,0,1970
375000,Williams,3016,0,1970
1470000,Jas,3016,364,1970
1460000,Greg,3016,373,1970
543000,Williams,3016,0,1974
960000,Gunn&Co,3016,189,1977
546000,Williams,3016,2023,1979
460000,Williams,3016,0,1979
1245000,hockingstua,3016,292,1980
1300000,Sweeney,3016,369,1980
412000,Williams,3016,0,1980
547500,Greg,3016,0,1980
513500,RT,3016,0,1980
830000,Greg,3016,84,1980
890000,Gunn&Co,3016,0,1980
940000,RT,3016,166,1986
1045000,Williams,3016,526,1990
550000,Williams,3016,0,1990
1200000,RT,3016,315,1990
2910000,Greg,3016,515,1990
1010000,Raine,3016,418,1995
1575000,Greg,3016,430,1996
2040000,Greg,3016,531,1997
1200000,Williams,3016,348,1997
1900000,hockingstuar—,3016,448,1998
720000,Jas,3016,146,2001
670000,Jas,3016,146,2001
935000,Sweeney,3016,233,2002
1070000,Williams,3016,442,2003
1330000,Williams,3016,217,2003
2440000,Sweeney,3016,500,2005
1560000,Greg,3016,310,2005
1200000,Village,3016,183,2006
1800000,Raine,3016,332,2006
2075000,Greg,3016,324,2009
1630000,Greg,3016,265,2010
1460000,Greg,3016,506,2010
2050000,Sweeney,3016,648,2011
1710000,RT,3016,260,2016
1280000,Barlow,3018,798,0
1020000,Greg,3018,570,0
1410000,Greg,3018,521,0
853000,Barlow,3018,600,0
1295000,Greg,3018,725,0
1165000,Greg,3018,700,0
600000,hockingstua,3018,190,0
840000,hockingstua,3018,577,0
860000,RT,3018,537,0
740000,Greg,3018,604,0
900000,Sweeney,3018,697,0
1500000,Barlow,3018,929,0
753000,Barlow,3018,529,0
605000,Barlow,3018,181,0
